,BE1,BE2,DE1,DE2,DE3,DE4,DK1,NL1,NL2,NL3,NL4,NO1,UK1,UK2,UK3,UK4,DE_A,DE_B,NL_A,NL_C,NL_D,NL_E,NL_B,DK_B,DK_A,BE_B,DE_D,DE_F,DE_E,DE_C,UK_F,UK_G,UK_D,UK_E,UK_H,UK_B,UK_C,BE_A
27,,,,0.1540034814244772,,0.020381796782097523,0.03733390473036557,,0.10860876274108888,,,,0.09365391854882624,0.1167998540545818,0.08503806980768137,0.26119159551459314,0.3529801621319318,0.36491107757213076,0.44591671717484693,0.0,0.18688221451040243,0.3080356481340196,0.5162545990100232,0.017821263407645907,0.0,0.0,0.26688170300605646,0.1294824602868822,0.20391148571744347,0.34663914901204074,0.7962999371019776,0.4728361803426035,0.1481856136772927,0.13855191722209806,0.21822308757099682,0.4439396678608755,0.9642751942564706,0.0
28,,,,0.24442702561497212,,0.059179549652270465,0.0587372430507379,,0.1549726721613031,,,,0.14774660386521338,0.11597336556129388,0.07824394675765779,0.2308728256452623,0.426214100388616,0.3539075203941069,0.5320194015529479,0.010312621726291549,0.2528900706288512,0.42765717400444886,0.6282080070423798,0.0075893079836868715,0.0,0.01232682011082805,0.35207843922506693,0.13279042305769742,0.22365000067568241,0.3898856217701409,0.9056267194069381,0.5941605224739845,0.14525104823268045,0.1207242959295244,0.3454751376917685,0.5601889262205627,0.99753103581564,0.0
29,,,,0.3190062270873042,,0.09878600235050237,0.09435115138725962,,0.19588555325959858,,,,0.22641483331144455,0.12690363579574093,0.06849936245487753,0.2155300202078823,0.46399167355119897,0.3422456912110305,0.5329071539995158,0.08541921454380434,0.31925762230656535,0.4981546677483453,0.6337660314373254,0.0,0.0,0.05282142932179118,0.40299865018879466,0.09574242900919032,0.255652352396888,0.3999494486890262,0.94508991862111,0.6630086614797089,0.15200978390189535,0.09776009150881684,0.4590756390363831,0.7018594553037807,1.0,0.0
30,,,,0.39756398718041097,,0.14549621545677835,0.13004520370706385,,0.17903800633079128,,,,0.28260338213367026,0.15962746371397205,0.05874694866665703,0.22176611400367896,0.48417962269330306,0.3024428001702063,0.5257127725341324,0.15225628948878123,0.31229805160976026,0.5409265475802951,0.6146634499635304,0.0,0.0,0.09154784999106375,0.4483495427762173,0.06312235832214355,0.212873656123964,0.3851681948933607,0.9586661815586514,0.6555570118680398,0.17244950068473766,0.06978853492312027,0.5318437903016109,0.8384957928642502,1.0,0.019034452270136507
31,,,,0.429879001709352,,0.17235724710524084,0.14300539059672882,,0.15575817625146163,,,,0.34158329386869424,0.21110008412013465,0.04639974219929424,0.24318902355861616,0.4580620285801483,0.23334215791128135,0.6195682685002472,0.20953591024617782,0.3017723045214532,0.5406265216403537,0.6925864061787486,0.0,0.0,0.12871320677105225,0.4428338260871144,0.0362655563266189,0.15217343710307074,0.33861431714312484,0.9769614121364751,0.67758951815659,0.1872331470974832,0.049694753980022426,0.5585547542717874,0.8969756158313639,1.0,0.06665960108112805
32,,,,0.40325507175491515,,0.19949452132699003,0.16572154658069183,,0.18745037826738858,,,,0.4121192711677735,0.2569654376067392,0.03692555130877136,0.25202391524026924,0.35442501855159286,0.13437402098686865,0.832999433136353,0.2532863389648336,0.35592220015527276,0.4359994686974418,0.9287250472851317,0.0,0.028280329563206034,0.1753663232335541,0.3668589369209073,0.01715280497515643,0.09748751905307042,0.23182380107807724,0.9795697959455181,0.7906305984717013,0.1518655520155907,0.034029478005047915,0.5762813327270156,0.9106109476316545,0.9855716485747125,0.13304884693738073
33,,,,0.31861129048358966,,0.2513707612917325,0.18082324962554036,,0.299674875209206,,,,0.5031948607083238,0.31840936305895146,0.028577951556485303,0.29530747012762304,0.2505459113757346,0.09068628238773956,0.9757735590659109,0.3065775026654642,0.49083867260735164,0.31219687117470624,1.0,0.0,0.060318321768981616,0.22754897570732574,0.26470331307783446,0.011569761214432896,0.0708143054720399,0.15629149743062853,0.9568259598122066,0.902376664147877,0.11747389809880024,0.020863933220060946,0.5894166919091419,0.8994012479035199,0.9023911490354564,0.22110233500345777
34,,,,0.2245772626218068,,0.2832260514730924,0.12595734429353264,,0.413117481432463,,,,0.4092093973455598,0.3846389549922985,0.016829192429224895,0.3387961255494921,0.1645227823901687,0.07249333672440636,0.9931112863138439,0.2873215888037658,0.5773703103399567,0.22990454779730904,0.9967116507507526,0.0,0.06742910261569621,0.2249619011986634,0.1758174175713065,0.020338961724881775,0.04259561769967749,0.10277226754306676,0.7883253475735754,0.9880963465903764,0.07608021395095554,0.0,0.6218945324194831,0.8876249997761939,0.674409943616282,0.25058103437743084
35,,,,0.10969953904668966,,0.31398486794671626,0.15249657736936612,,0.47134424330058855,,,,0.3911049340883818,0.3588988442018477,0.007945982976470471,0.3428835221831623,0.0662326699858956,0.04947365504195802,0.9864060737462143,0.28308377981582616,0.6403455479179058,0.1080955990155538,0.9882952233708953,0.0,0.06325517405684927,0.22950151065078916,0.07411393566229643,0.024587584248295536,0.012347972294374565,0.03723614072230276,0.5684664164199983,0.984154819370831,0.03934644177447341,0.0,0.7233062352573361,0.8054356911546944,0.5023291604068725,0.28083118250703437
36,,,,0.05893038186682277,,0.42027182858708423,0.20615696824864263,,0.45360909522207155,,,,0.40424919647715635,0.34285619529558164,0.0033398081868724733,0.3648076906920741,0.04112489232780573,0.07671800872984297,0.8808322256811274,0.34606619464157024,0.6576825205972263,0.059208707544538705,0.876403537558109,0.0,0.04483679614511807,0.25882244119435177,0.039247332686172184,0.02815595044030084,0.0,0.027048418646769618,0.39987542763847145,0.9519451038783246,0.016424947943160483,0.0,0.8232115221742632,0.6160119780398688,0.3677920319648597,0.3075536237272733
37,,,,0.027342376115331683,,0.6054198997326407,0.2726623812382162,,0.40161366231817947,,,,0.49607658983313935,0.31151749725711575,0.0,0.3966998289962926,0.03026499741824931,0.10683600985016638,0.7044094027466532,0.49171405380680644,0.5909375128983357,0.03292742835150825,0.6820332921267196,0.010569746240380665,0.026811766094083794,0.38240943967360663,0.015533760453761657,0.03033840788735283,0.0,0.036988733081124985,0.2961354762629646,0.8253459655784655,0.0035541843715613227,0.0,0.8858876342984816,0.4490413964195397,0.28707292326283135,0.3929182907531799
38,,,,0.0,,0.7178971493238464,0.3208386117951661,,0.3750894772379022,,,,0.6178048689888009,0.29183464932927367,0.0,0.428341460453238,0.024925608464138577,0.14124386304216394,0.5794908601048704,0.6809572498492908,0.5595040087516536,0.0,0.5558253403296549,0.02075925471924719,0.016489858663167285,0.5975946100424026,0.0,0.05062564876344469,0.0,0.05270126817375698,0.26788342730646025,0.7432156629923485,0.0,0.00560700899443425,0.9331664444789354,0.38498302224766484,0.2365281480703338,0.6444336757298156
39,,,,0.0,,0.7624837905460912,0.34535538184427794,,0.29629402331302035,,,,0.7739288110787936,0.2740009734387957,0.0,0.4706779322583181,0.04258186338041247,0.20026667845491447,0.43135284026070453,0.772339061631696,0.46405896891694903,0.03063380320866902,0.41796188795622286,0.03444594592600473,0.007269046429431724,0.7134187329609147,0.0,0.0753154941841408,0.0,0.08893613017304564,0.2810126697678465,0.6374970069772085,0.0,0.006970160258597763,0.9378474972339128,0.36130870548371635,0.21217483441877724,0.9864052251362441
40,,,,0.0,,0.7755733008906118,0.3508613102830244,,0.23237773574026005,,,,0.8508764459516671,0.2768176745535855,0.0,0.5522891370625769,0.08169291279276442,0.24694010526077118,0.31903153956216546,0.7870200266909477,0.3697343448841154,0.07611030843522812,0.3307141492638561,0.007256898469974412,0.0,0.7544280678924814,0.007508634765694755,0.06819175799687704,0.0,0.1511455493481843,0.28770836759734414,0.5378622322903388,0.0,0.009257354996598749,0.9135278732250062,0.3558096874740479,0.19702127036756747,1.0
41,,,,0.0,,0.7563127115863205,0.3722296532049908,,0.17967565486305637,,,,0.8541669961621228,0.28816516328855435,0.003713166334999166,0.559254305496133,0.09469979514309472,0.20244312575624993,0.24607709623707713,0.7431524503330221,0.2957974261200712,0.09796440045038858,0.27048388385327365,0.0,0.03579961528238615,0.7317312862123219,0.023470547741145383,0.0355240394451,0.0,0.1587093643666543,0.25279265310945315,0.4534248099661545,0.0,0.029395909467670008,0.8803456982343867,0.3243445622046544,0.17357404106556482,1.0
42,,,,0.0,,0.7229656502128513,0.45464380607844873,,0.1367081436358,,,,0.8247664510470591,0.303435894038869,0.02109409581497204,0.5647444914565548,0.06836990254482513,0.13533977588685983,0.1829778721247925,0.6962875048848436,0.23935599259508947,0.09055022478103636,0.21055363700867896,0.004399486609615158,0.16147362708252153,0.6947006827189617,0.01782163443818786,0.017454707269315365,0.0,0.11573182911759833,0.20599516977060706,0.3843909887854541,0.0,0.07032297511669172,0.8451459596398455,0.28210319377637816,0.14958283742566264,0.9859893918678868
