,BE1,BE2,DE1,DE2,DE3,DE4,DK1,NL1,NL2,NL3,NL4,NO1,UK1,UK2,UK3,UK4
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0,0.018826931577692677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,0.01360735028102422,0.01051875370812826,0.059285476321499025,0.0,0.09296314070185845,0.0,0.0,0.0,0.0008827518670772545,0.0017671900888826763,0.0,0.0,0.012331084605678402,0.0004203410715427828,0.0
59,0.007,0.04605553263522213,0.0688255971182691,0.19327362628172798,0.026709558965270535,0.16085627358039964,0.0,0.04698432994232246,0.012799036903295563,0.07548484896522568,0.06752365258090191,0.0,0.0,0.11643497993537774,0.08235147026489509,0.027801480458674987
60,0.0,0.018385823921675405,0.0737685293062891,0.1706789735591878,0.054945754090090136,0.17947403502843504,0.0,0.04407796579620605,0.010377597489158565,0.06539049406494084,0.0670239732460386,0.057,0.003977275251372464,0.15275566775869848,0.15652421568018765,0.06686903941159444
61,0.0,0.0007130889607839066,0.03476127327177777,0.1083816471979177,0.0731355298815287,0.14312485743190723,0.0,0.019828206103819555,0.02315103899566343,0.031613160623746736,0.029687612316671746,0.0,0.0,0.1585506178208231,0.17307809450234932,0.036531515617194886
62,0.0,0.0,0.011660368806943787,0.07342601104924501,0.010726225507947138,0.07712327801869344,0.0,0.0,0.0,0.025650335711193347,0.0,0.0,0.0,0.10785177057834612,0.14646266866286123,0.03355503831893372
63,0.0,0.0,0.0,0.0,0.0,0.013625337171391722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0388490821644716,0.09005096154820288,0.011816843615123898
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006011338818790396
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0,0.0,0.01850427204304267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,0.067,0.0359543368110405,0.03166290709408104,0.0,0.0295221751025101,0.12060559158170758,0.0,0.09187502403076137,0.093421439414137,0.029036259190579616,0.046657689546468775,0.0,0.00018068627042601236,0.0,0.0,0.0
83,0.0,0.012117005052165944,0.1310826278079577,0.1233254333068193,0.03771054226218754,0.2152155719104103,0.004244488423051428,0.1755159584268137,0.19796224025108414,0.12382545478280857,0.11125465450217972,0.0,0.0,0.0,0.0,0.008014912206402837
84,0.017,0.0,0.1153815756716225,0.14639349723768877,0.08541501525715291,0.24587664279348131,0.006990132645519029,0.0235000961230454,0.13216320334778855,0.10176283109197347,0.038965233751798584,0.0,0.0,6.666119755062338e-05,0.012803367990797836,0.009411183632440331
85,0.0,0.0009992058234093804,0.08530150968345795,0.002304769535034101,0.11716500643651247,0.20874563164119675,0.0,0.0,0.0,0.03473677283979889,0.030893959521456953,0.0,0.0,0.0,0.019884545219498336,0.0013354793642846904
86,0.014,0.011513069989836368,0.02492906434587982,0.0,0.0450194016582687,0.1360435082328794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007577855365060983,0.002765215856643582
